state_id,energy,J,parity,m1_true,m2_true,m3_true,r_true
6,2797.135151,0,e,2,0,0,1
7,3792.680795,0,e,3,0,0,4
8,3942.541867,0,e,3,0,0,3
9,4064.27381,0,e,3,0,0,2
10,4225.094736,0,e,3,0,0,1
12,5022.35012,0,e,4,0,0,5
13,5197.252029,0,e,4,0,0,4
14,5329.645769,0,e,4,0,0,3
15,5475.551845,0,e,4,0,0,2
16,5667.642404,0,e,4,0,0,1
17,5915.216018,0,e,1,0,2,2
18,6016.70119,0,e,1,0,2,1
25,7133.821974,0,e,2,0,2,3
26,7259.774293,0,e,2,0,2,2
33,8334.247762,0,e,3,0,2,4
35,8488.411018,0,e,3,0,2,3
37,8607.136065,0,e,3,0,2,2
56,10444.895643,0,e,1,0,4,2
58,10546.62081,0,e,1,0,4,1
1082,9080.353723,1,f,5,1,1,6
1084,9470.170672,1,f,5,1,1,4
1085,9643.346298,1,f,5,1,1,3
1086,9838.479977,1,f,5,1,1,2
1096,11158.155631,1,f,3,1,3,4
1098,11335.067886,1,f,3,1,3,3
1100,11491.481891,1,f,3,1,3,2
1102,11663.037639,1,f,3,1,3,1
1106,12102.331332,1,f,0,1,5,1
1119,13259.92958,1,f,1,1,5,2
1138,14560.457181,1,f,2,1,5,2
1141,14707.008774,1,f,2,1,5,1
1913,4416.932326,1,e,3,1,0,4
1914,4591.896129,1,e,3,1,0,3
1915,4754.229192,1,e,3,1,0,2
1917,4939.163913,1,e,3,1,0,1
1921,5639.304689,1,e,4,1,0,5
1922,5831.581451,1,e,4,1,0,4
1923,6001.307931,1,e,4,1,0,3
1925,6179.814329,1,e,4,1,0,2
1928,6388.859108,1,e,4,1,0,1
1940,7617.408104,1,e,5,1,0,2
1960,9112.052651,1,e,3,1,2,3
1963,9270.254832,1,e,3,1,2,2
1973,9865.214734,1,e,0,1,4,1
1979,10195.798584,1,e,6,0,1,4
1982,10353.832124,1,e,6,0,1,3
1987,10568.367279,1,e,3,0,3,4
1997,10987.053625,1,e,3,0,3,1
2017,11913.218905,1,e,4,0,3,4
2074,13825.176292,1,e,2,0,5,3
2121,15121.821295,1,e,3,0,5,3
2128,15240.116307,1,e,3,0,5,2
2132,15373.70528,1,e,3,0,5,1
3808,3795.031395,2,e,3,0,0,4
3809,3824.364921,2,e,2,2,0,3
3810,3944.879412,2,e,3,0,0,3
3814,4227.440663,2,e,3,0,0,1
3818,5024.704421,2,e,4,0,0,5
3819,5049.618057,2,e,3,2,0,4
3820,5199.592703,2,e,4,0,0,4
3821,5247.813821,2,e,3,2,0,3
3822,5331.978071,2,e,4,0,0,3
3823,5439.547592,2,e,3,2,0,2
3827,5647.19713,2,e,3,2,0,1
3828,5669.990105,2,e,4,0,0,1
3832,6019.004775,2,e,1,0,2,1
3835,6437.844511,2,e,5,0,0,5
3836,6475.376459,2,e,4,2,0,4
3838,6672.890562,2,e,4,2,0,3
3840,6727.593756,2,e,5,0,0,3
3842,6877.433373,2,e,4,2,0,2
3843,6906.265472,2,e,5,0,0,2
3846,7124.083152,2,e,5,0,0,1
3850,7262.075335,2,e,2,0,2,2
3869,8362.757425,2,e,2,2,2,3
3880,8759.103395,2,e,3,0,2,1
3898,9644.886654,2,e,5,1,1,3
3903,9835.697904,2,e,4,0,2,3
3905,9840.034938,2,e,5,1,1,2
3924,10484.706891,2,e,0,2,4,1
3934,10857.896022,2,e,6,1,1,4
3944,11159.683553,2,e,3,1,3,4
3952,11336.589137,2,e,3,1,3,3
3955,11493.002677,2,e,3,1,3,2
3965,11664.562721,2,e,3,1,3,1
3969,11751.697551,2,e,2,0,4,2
3981,12103.831939,2,e,0,1,5,1
4087,14402.179248,2,e,2,1,5,3
4100,14561.957114,2,e,2,1,5,2
4107,14708.508124,2,e,2,1,5,1
6656,3183.815374,2,f,2,1,0,3
6660,4418.508191,2,f,3,1,0,4
6661,4593.464429,2,f,3,1,0,3
6662,4755.796908,2,f,3,1,0,2
6664,4940.736261,2,f,3,1,0,1
6667,5640.884443,2,f,4,1,0,5
6669,6002.874668,2,f,4,1,0,3
6671,6181.384427,2,f,4,1,0,2
6672,6290.82807,2,f,2,2,1,2
6673,6390.434222,2,f,4,1,0,1
6674,6476.867442,2,f,2,2,1,1
6694,8503.544785,2,f,4,2,1,5
6699,8937.567774,2,f,3,1,2,4
6702,9113.600179,2,f,3,1,2,3
6704,9271.797563,2,f,3,1,2,2
6708,9447.435402,2,f,3,1,2,1
6715,9910.758509,2,f,5,2,1,5
6717,10115.212162,2,f,5,2,1,4
6721,10316.153212,2,f,5,2,1,3
6726,10594.601591,2,f,2,2,3,3
6729,10772.40352,2,f,5,2,1,1
6730,10778.393308,2,f,2,2,3,2
6735,10958.023069,2,f,2,2,3,1
6739,11186.234302,2,f,1,1,4,1
6759,12138.078068,2,f,3,2,3,2
6774,12709.451984,2,f,0,2,5,1
6812,14022.026111,2,f,1,2,5,1
8453,3826.718987,3,f,2,2,0,3
8459,5051.974915,3,f,3,2,0,4
8460,5250.162837,3,f,3,2,0,3
8461,5441.894802,3,f,3,2,0,2
8463,5535.97957,3,f,1,3,1,2
8465,5649.547457,3,f,3,2,0,1
8468,5963.143912,3,f,0,2,2,1
8471,6675.236031,3,f,4,2,0,3
8475,6879.780806,3,f,4,2,0,2
8476,6949.380098,3,f,2,3,1,2
